title,duration,position,instructor_name,tags,media_url
Introduction to Yoga,600,1,Jane Doe,"yoga,beginner",https://example.com/yoga1.mp4
Breathing Exercises,300,2,John Smith,"breathing,meditation",https://example.com/breath.mp3
Sun Salutation,900,3,Jane Doe,yoga,https://example.com/sun.mp4
Morning Flow,1200,4,Alice Brown,"morning,energy",
Deep Relaxation,1800,5,Bob Wilson,"relaxation,sleep",https://example.com/relax.mp3
Advanced Postures,2400,6,Jane Doe,"yoga,advanced",https://example.com/adv.mp4
Guided Meditation,600,7,John Smith,meditation,https://example.com/med.mp3
Stretching Basics,450,8,Alice Brown,stretch,
Power Yoga,1500,9,Bob Wilson,power,https://example.com/power.mp4
Cool Down,300,10,Jane Doe,yoga,
